"doi_prefix","issn"
"10.11606","2447-9012"
"10.12","0732-183X"
"10.119","0016-8033"
"10.1049","1751-8695"
"10.159","1516-1498"
"10.108","2158-0103"
"10.1136","0017-5749"
"10.1056","0028-4793"
"10.1142","1793-6047"
"10.56083","2447-0961"
"10.1055","0743-684X"
"10.1093","1047-3211"
"10.1029","0048-6604"
"10.1016","0022-0736"
"10.1063","0003-6951"
"10.1002","0031-8965"
"10.1097","0029-7844"
"10.7199","0973-0966"
"10.1515","2191-026X"
"10.2972","0018-098X"
"10.1021","1936-0851"
"10.1308","0035-8843"
"10.4703","2715-4750"
"10.1017","1755-1455"
"10.1007","1380-3743"
"10.1111","0019-1019"
"10.2214","0361-803X"
"10.1038","0028-0836"
"10.1039","2052-4129"
"10.3329","2414-6293"
"10.21125","2340-1095"
"10.5694","0025-729X"
"10.339","2073-8994"
"10.1371","1553-7358"
"10.5763","1226-3729"
"10.3406","0245-9000"
"10.1159","0030-3747"
"10.58837","2651-2343"
"10.3788","1000-7032"
"10.1134","1063-7788"
"10.15232","1080-7446"
"10.14359","0889-3241"
"10.7202","0831-1048"
"10.1051","0004-6361"
"10.1179","1784-3286"
"10.1073","0027-8424"
"10.29133","1308-7576"
"10.4","1246-8258"
"10.2215","1555-9041"
"10.46925","0041-8811"
"10.2307","0004-4687"
"10.1586","1476-0584"
"10.1086","0002-8762"
"10.1057","0001-6810"
"10.1249","0195-9131"
"10.56373","1894-180X"
"10.1155","1099-0526"
"10.2409","2963-0908"
"10.33979","2073-7432"
"10.1728","1598-2319"
"10.1103","0031-9007"
"10.3109","0001-6489"
"10.1364","1094-4087"
"10.1088","0031-9155"
"10.21767","2472-1646"
"10.33023","2528-3022"
"10.25134","2541-3635"
"10.598","0021-5287"
"10.1177","0046-7774"
"10.3901","0577-6686"
"10.3862","1882-9619"
"10.1108","1355-2511"
"10.2217","1479-6678"
"10.4067","0071-1713"
"10.32796","2340-8790"
"10.3928","0148-4834"
"10.7328","1615-5335"
"10.1042","0143-5221"
"10.3934","1551-0018"
"10.1001","0003-9950"
"10.1119","0002-9505"
"10.14452","0027-0520"
"10.33474","2621-783X"
"10.1091","1059-1524"
"10.979","2279-0845"
"10.16885","1598-8295"
"10.1037","1935-990X"
"10.5744","2476-1699"
"10.584","1085-1968"
"10.1006","0305-7364"
"10.33073","2544-4646"
"10.1504","1752-3583"
"10.1542","0031-4005"
"10.3579","2338-199X"
"10.4314","1118-0579"
"10.21876","2236-3785"
"10.1348","1748-6645"
"10.1112","0024-6107"
"10.2139","1556-5068"
"10.3919","1882-5133"
"10.12681","2732-639X"
"10.23917","2714-6251"
"10.109","0002-9939"
"10.47295","2317-0433"
"10.4172","2157-7536"
"10.13","1542-4065"
"10.21074","1229-8778"
"10.3233","1064-1246"
"10.1787","1999-1487"
"10.1524","2196-6842"
"10.31851","2715-6990"
"10.2165","1175-0561"
"10.215","0387-8805"
"10.7759","2168-8184"
"10.36418","2797-6068"
"10.1167","1552-5783"
"10.2174","1573-398X"
"10.3121","1539-4182"
"10.4018","1937-9633"
"10.47307","0367-4762"
"10.136","0023-074X"
"10.1182","1528-0020"
"10.1143","0021-4922"
"10.1353","2222-4270"
"10.313","0387-1185"
"10.1121","0001-4966"
"10.1903","2157-8826"
"10.12783","2475-8833"
"10.36223","2508-4402"
"10.1186","1741-7007"
"10.24966","2578-7276"
"10.1107","1600-5368"
"10.36231","2663-547X"
"10.1071","0067-1924"
"10.18494","0914-4935"
"10.3758","0743-3808"
"10.4028","1662-9779"
"10.1126","0036-8075"
"10.33369","2746-055X"
"10.26655","2651-4699"
"10.1096","0892-6638"
"10.1139","0008-4077"
"10.1117","0277-786X"
"10.1253","0047-1828"
"10.3389","2296-987X"
"10.2298","0370-8179"
"10.15587","2519-4852"
"10.15359","2215-5449"
"10.25145","0211-5913"
"10.1089","0892-7790"
"10.4034","1519-0501"
"10.21273","0018-5345"
"10.1124","0022-3565"
"10.6009","0369-4305"
"10.30525","2592-8236"
"10.25124","2442-4005"
"10.3097","0136-8168"
"10.1766","0567-7572"
"10.2388","2641-9459"
"10.31261","2719-4167"
"10.1152","0002-9513"
"10.18542","2238-8184"
"10.1523","0270-6474"
"10.586","0009-4978"
"10.1163","0925-9880"
"10.31525","2643-4652"
"10.1751","2407-6899"
"10.7705","0120-4157"
"10.24065","2237-9460"
"10.29322","2250-3153"
"10.25212","2518-6558"
"10.14397","1598-5504"
"10.31649","1997-9266"
"10.5465","0065-0668"
"10.1023","0167-6806"
"10.3897","1314-2488"
"10.3312","1883-3659"
"10.30699","1735-8612"
"10.114","1434-6044"
"10.15578","2654-9581"
"10.3126","2091-2609"
"10.34019","1982-8047"
"10.2106","0021-9355"
"10.21608","1687-9546"
"10.5035","1349-4333"
"10.5603","2083-4640"
"10.1074","0021-9258"
"10.33745","2454-3055"
"10.51405","1818-9849"
